Accession 	Parent Location 	Collected Location 	Method 	Order	Gene attempts	28S attempt	COI attempt	LCA order, if available	Combined order
NZAC03009135	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI		Diptera
NZAC03009136	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009137	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009138	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009139	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009140	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009141	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009142	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009143	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009145	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009146	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03009148	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009149	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03009150	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009151	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Hemiptera	Both	28S	COI	Hemiptera	Hemiptera
NZAC03009152	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009153	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009156	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Empty vial	Both	28S	COI		Empty vial
NZAC03009157	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009158	LB1 	Subplot C 	Invertebrate Pitfall Trap 	Isopoda	Both	28S	COI		Isopoda
NZAC03009159	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009160	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Orthoptera	Both	28S	COI	Orthoptera	Orthoptera
NZAC03009161	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03009162	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009163	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009164	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009165	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Orthoptera	Both	28S	COI		Orthoptera
NZAC03009166	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03009167	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI		Hymenoptera
NZAC03009168	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI	Amphipoda	Amphipoda
NZAC03009169	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009170	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI		Diptera
NZAC03009171	LB1 	Subplot O 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
