Accession 	Gene	Parent Location 	Collected Location 	Method 	Order	LCA order (if available)	Combined order
NZAC03010511	COI	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03010550	COI	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010581	COI	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010582	COI	Plot 6 	Subplot E 	Invertebrate Pitfall Trap 	Diplopoda	Polydesmida	Polydesmida
NZAC03010622	COI	Plot 4 	Subplot H 	Invertebrate Pitfall Trap 	Empty vial	Araneae	Araneae
NZAC03010623	COI	Plot 6 	Subplot A 	Invertebrate Pitfall Trap 	Hymenoptera	Hymenoptera	Hymenoptera
NZAC03010681	COI	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03010721	COI	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Araneae	0	Araneae
NZAC03010727	COI	Plot 1 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010747	COI	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Diplopoda	Polydesmida	Polydesmida
NZAC03010760	COI	CM30c30 	Subplot M 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010780	COI	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010791	COI	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Araneae	0	Araneae
NZAC03010795	COI	Plot 1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010820	COI	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010831	COI	Plot 2 	Subplot D 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010846	COI	Plot 1 	Subplot L 	Invertebrate Pitfall Trap 	Hemiptera	Hemiptera	Hemiptera
NZAC03010847	COI	Plot 1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03010850	COI	Plot 1 	Subplot L 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03010854	COI	Plot 1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03010855	COI	Plot 1 	Subplot L 	Invertebrate Pitfall Trap 	Amphipoda	0	Amphipoda
NZAC03010860	COI	Plot 1 	Subplot L 	Invertebrate Pitfall Trap 	Empty vial	Hemiptera	Hemiptera
NZAC03010868	COI	Plot 1 	Subplot L 	Invertebrate Pitfall Trap 	Insecta	Hemiptera	Hemiptera
NZAC03010872	COI	Plot 1 	Subplot D 	Invertebrate Pitfall Trap 	Hymenoptera	0	Hymenoptera
NZAC03010878	COI	Plot 1 	Subplot D 	Invertebrate Pitfall Trap 	Diptera	0	Diptera
NZAC03010886	COI	Plot 1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03010919	COI	Plot 6 	Subplot N 	Leaf Litter Collection 	Diplopoda	Polydesmida	Polydesmida
NZAC03010925	COI	Plot 6 	Subplot N 	Leaf Litter Collection 	Diplopoda	0	(Diplopoda)
NZAC03010934	COI	Plot 6 	Subplot N 	Leaf Litter Collection 	Amphipoda	0	Amphipoda
NZAC03010935	COI	Plot 6 	Subplot N 	Leaf Litter Collection 	Isopoda	Isopoda	Isopoda
NZAC03010940	COI	Plot 6 	Subplot N 	Leaf Litter Collection 	Diplopoda	Polydesmida	Polydesmida
NZAC03010948	COI	Plot 6 	Subplot N 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03010991	COI	CM30c30 	Subplot L 	Leaf Litter Collection 	Diplopoda	0	(Diplopoda)
NZAC03011035	COI	CM30c30 	Subplot L 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011060	COI	Plot 8 	Subplot O 	Leaf Litter Collection 	Hemiptera	Hemiptera	Hemiptera
NZAC03011062	COI	Plot 2 	Subplot C 	Leaf Litter Collection 	Insecta	Coleoptera	Coleoptera
NZAC03011067	COI	Plot 8 	Subplot O 	Leaf Litter Collection 	Insecta	Coleoptera	Coleoptera
NZAC03011079	COI	Plot 8 	Subplot O 	Leaf Litter Collection 	Gastropoda	(Gastropoda)	(Gastropoda)
NZAC03011083	COI	Plot 2 	Subplot C 	Leaf Litter Collection 	Diplopoda	Polydesmida	Polydesmida
NZAC03011087	COI	CM30c30 	Subplot L 	Leaf Litter Collection 	Diplopoda	Polydesmida	Polydesmida
NZAC03011113	COI	Plot 8 	Subplot O 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011114	COI	Plot 8 	Subplot O 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03011123	COI	Plot 8 	Subplot O 	Leaf Litter Collection 	Insecta	Coleoptera	Coleoptera
NZAC03011135	COI	Plot 8 	Subplot O 	Leaf Litter Collection 	Diptera	0	Diptera
NZAC03011139	COI	Plot 2 	Subplot C 	Leaf Litter Collection 	Empty vial	Coleoptera	Coleoptera
NZAC03011158	COI	CM30c30 	Subplot L 	Leaf Litter Collection 	Diplopoda	Polydesmida	Polydesmida
NZAC03011181	COI	Plot 2 	Subplot C 	Leaf Litter Collection 	Diplopoda	Polydesmida	Polydesmida
NZAC03011183	COI	Plot 2 	Subplot C 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011185	COI	Plot 2 	Subplot C 	Leaf Litter Collection 	Insecta	Lepidoptera	Lepidoptera
NZAC03011194	COI	Plot 2 	Subplot C 	Leaf Litter Collection 	Diplopoda	Polydesmida	Polydesmida
NZAC03011211	COI	CM30c30 	Subplot L 	Leaf Litter Collection 	Diplopoda	Polydesmida	Polydesmida
NZAC03011223	COI	CM30c30 	Subplot L 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011234	COI	CM30c30 	Subplot L 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011244	COI	CM30c30 	Subplot L 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011251	COI	CM30c30 	Subplot L 	Leaf Litter Collection 	Diplopoda	Polydesmida	Polydesmida
NZAC03011260	COI	Plot 2 	Subplot C 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03011274	COI	Plot 2 	Subplot C 	Leaf Litter Collection 	Araneae	0	Araneae
NZAC03011289	COI	Plot 6 	Subplot N 	Leaf Litter Collection 	Diplopoda	Polydesmida	Polydesmida
NZAC03011293	COI	Plot 6 	Subplot N 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011334	COI	Plot 2 	Subplot C 	Leaf Litter Collection 	Insecta	Lepidoptera	Lepidoptera
NZAC03011335	COI	Plot 2 	Subplot C 	Leaf Litter Collection 	Hemiptera	Hemiptera	Hemiptera
NZAC03011343	COI	Plot 6 	Subplot N 	Leaf Litter Collection 	Isopoda	0	Isopoda
NZAC03011356	COI	Plot 2 	Subplot C 	Leaf Litter Collection 	Arthropoda	0	(Arthropoda)
NZAC03011367	COI	Plot 8 	Subplot O 	Leaf Litter Collection 	Coleoptera	0	Coleoptera
NZAC03011371	COI	Plot 8 	Subplot O 	Leaf Litter Collection 	Hemiptera	0	Hemiptera
NZAC03011374	COI	Plot 8 	Subplot O 	Leaf Litter Collection 	Lepidoptera	Lepidoptera	Lepidoptera
NZAC03011377	COI	Plot 8 	Subplot O 	Leaf Litter Collection 	Geophilomorpha	0	Geophilomorpha
NZAC03011380	COI	Plot 8 	Subplot O 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011383	COI	Plot 8 	Subplot O 	Leaf Litter Collection 	Hemiptera	Hemiptera	Hemiptera
NZAC03011387	COI	Plot 8 	Subplot O 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011390	COI	Plot 8 	Subplot O 	Leaf Litter Collection 	0	Hymenoptera	Hymenoptera
NZAC03011391	COI	Plot 8 	Subplot O 	Leaf Litter Collection 	Coleoptera	Coleoptera	Coleoptera
NZAC03011396	COI	Plot 2 	Subplot C 	Leaf Litter Collection 	Thysanoptera	Thysanoptera	Thysanoptera
NZAC03011423	COI	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Orthoptera	Orthoptera	Orthoptera
NZAC03011434	COI	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011440	COI	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011451	COI	Plot 4 	Subplot P 	Invertebrate Pitfall Trap 	Coleoptera	Coleoptera	Coleoptera
NZAC03011456	COI	Plot 3 	Subplot E 	Invertebrate Pitfall Trap 	Empty vial	0	Empty vial
NZAC03011463	COI	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Coleoptera	0	Coleoptera
NZAC03011478	COI	Plot 5 	Subplot B 	Invertebrate Pitfall Trap 	Araneae	Araneae	Araneae
