NZAC	Plot	Method	LCA	LCA_rank	Gene	Phylum	Class	Order
NZAC03010182	Plot_7	Leaf-Litter	Pancrustacea	no rank	COI only	Arthropoda	(Arthropoda)	(Arthropoda)
NZAC03010197	Plot_7	Leaf-Litter	Hemiptera	order	COI only	Arthropoda	Insecta	Hemiptera
NZAC03010323	Plot_7	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03010593	Plot_4	Pitfall-Trap	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03009296	Plot_7	Leaf-Litter	Endopterygota	infraclass	COI only	Arthropoda	Insecta	(Endopterygota)
NZAC03010149	Plot_7	Leaf-Litter	Pancrustacea	no rank	COI only	Arthropoda	(Arthropoda)	(Arthropoda)
NZAC03010164	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03010183	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03010384	Plot_7	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03010385	Plot_7	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03010365	Plot_7	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03010388	Plot_7	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03010354	Plot_7	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03010368	Plot_7	Leaf-Litter	Pancrustacea	no rank	COI only	Arthropoda	(Arthropoda)	(Arthropoda)
NZAC03010918	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03011027	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03010870	Plot_1	Pitfall-Trap	Araneae	order	COI only	Arthropoda	Arachnida	Araneae
NZAC03011110	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03014141	Plot_CM30c30	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03014214	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03010974	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03011033	Plot_CM30c30	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03011092	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03013771	Plot_CM30c30	Leaf-Litter	Pselaphinae	subfamily	COI only	Arthropoda	Insecta	Coleoptera
NZAC03014196	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03014216	Plot_CM30c30	Leaf-Litter	Endopterygota	infraclass	COI only	Arthropoda	Insecta	(Endopterygota)
NZAC03013019	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03013893	Plot_CM30c30	Leaf-Litter	Pselaphinae	subfamily	COI only	Arthropoda	Insecta	Coleoptera
NZAC03010984	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03011040	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03011101	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03011146	Plot_CM30c30	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03011238	Plot_CM30c30	Leaf-Litter	Pseudoscorpiones	order	COI only	Arthropoda	Arachnida	Pseudoscorpiones
NZAC03012937	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03013045	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03013960	Plot_CM30c30	Leaf-Litter	Coleoptera	order	COI only	Arthropoda	Insecta	Coleoptera
NZAC03014149	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03011103	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03011242	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03013061	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03013998	Plot_CM30c30	Leaf-Litter	Formicidae	family	COI only	Arthropoda	Insecta	Hymenoptera
NZAC03011054	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03011168	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03012946	Plot_CM30c30	Leaf-Litter	Araneae	order	COI only	Arthropoda	Arachnida	Araneae
NZAC03013082	Plot_CM30c30	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03014155	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03011153	Plot_CM30c30	Leaf-Litter	Araneae	order	COI only	Arthropoda	Arachnida	Araneae
NZAC03014156	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03014258	Plot_CM30c30	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03011017	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03011088	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03011222	Plot_CM30c30	Leaf-Litter	Hemiptera	order	COI only	Arthropoda	Insecta	Hemiptera
NZAC03011247	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03014158	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03010619	Plot_4	Pitfall-Trap	Formicidae	family	COI only	Arthropoda	Insecta	Hymenoptera
NZAC03014259	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03014276	Plot_CM30c30	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03014429	Plot_LB1	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03014100	Plot_LB1	Leaf-Litter	Hemiptera	order	COI only	Arthropoda	Insecta	Hemiptera
NZAC03014115	Plot_LB1	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03010531	Plot_4	Pitfall-Trap	Coleoptera	order	COI only	Arthropoda	Insecta	Coleoptera
NZAC03014355	Plot_CM30c30	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03014331	Plot_LB1	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03014272	Plot_CM30c30	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03014340	Plot_LB1	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03014427	Plot_LB1	Leaf-Litter	Hemiptera	order	COI only	Arthropoda	Insecta	Hemiptera
NZAC03013691	Plot_LB1	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03013754	Plot_LB1	Leaf-Litter	Pselaphinae	subfamily	COI only	Arthropoda	Insecta	Coleoptera
NZAC03013805	Plot_LB1	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03014032	Plot_LB1	Leaf-Litter	Opiliones	order	COI only	Arthropoda	Arachnida	Opiliones
NZAC03013806	Plot_LB1	Leaf-Litter	Coleoptera	order	COI only	Arthropoda	Insecta	Coleoptera
NZAC03013901	Plot_LB1	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03013958	Plot_LB1	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03014036	Plot_LB1	Leaf-Litter	Opiliones	order	COI only	Arthropoda	Arachnida	Opiliones
NZAC03014071	Plot_LB1	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03013851	Plot_LB1	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03013905	Plot_LB1	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03013959	Plot_LB1	Leaf-Litter	Formicidae	family	COI only	Arthropoda	Insecta	Hymenoptera
NZAC03013993	Plot_LB1	Leaf-Litter	Curculionidae	family	COI only	Arthropoda	Insecta	Coleoptera
NZAC03014040	Plot_LB1	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03013714	Plot_LB1	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03013737	Plot_LB1	Leaf-Litter	Neuroptera	order	COI only	Arthropoda	Insecta	Neuroptera
NZAC03013815	Plot_LB1	Leaf-Litter	Pseudoscorpiones	order	COI only	Arthropoda	Arachnida	Pseudoscorpiones
NZAC03013883	Plot_LB1	Leaf-Litter	Endopterygota	infraclass	COI only	Arthropoda	Insecta	(Endopterygota)
NZAC03013976	Plot_LB1	Leaf-Litter	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03014004	Plot_LB1	Leaf-Litter	Lepidoptera	order	COI only	Arthropoda	Insecta	Lepidoptera
NZAC03014075	Plot_LB1	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
NZAC03010560	Plot_4	Pitfall-Trap	Diptera	order	COI only	Arthropoda	Insecta	Diptera
NZAC03013767	Plot_LB1	Leaf-Litter	Amphipoda	order	COI only	Arthropoda	Malacostraca	Amphipoda
